RxCUI,TTY,RxNorm Description,Related BN,Related SCDC,Related DF
867506,SBD,PAZOPANIB 200 MG ORAL TABLET [VOTRIENT],VOTRIENT,PAZOPANIB 200 MG,ORAL TABLET
867502,SCD,PAZOPANIB 200 MG ORAL TABLET,,PAZOPANIB 200 MG,ORAL TABLET
2557391,SBD,20 ML PEGCETACOPLAN 54 MG/ML INJECTION [EMPAVELI],EMPAVELI,PEGCETACOPLAN 54 MG/ML,INJECTION
727542,SBD,0.6 ML PEGFILGRASTIM 10 MG/ML PREFILLED SYRINGE [NEULASTA],NEULASTA,PEGFILGRASTIM 10 MG/ML,PREFILLED SYRINGE
2469340,SBD,0.6 ML PEGFILGRASTIM-APGF 10 MG/ML PREFILLED SYRINGE [NYVEPRIA],NYVEPRIA,PEGFILGRASTIM-APGF 10 MG/ML,PREFILLED SYRINGE
2260709,SBD,0.6 ML PEGFILGRASTIM-BMEZ 10 MG/ML PREFILLED SYRINGE [ZIEXTENZO],ZIEXTENZO,PEGFILGRASTIM-BMEZ 10 MG/ML,PREFILLED SYRINGE
2102705,SBD,0.6 ML PEGFILGRASTIM-CBQV 10 MG/ML PREFILLED SYRINGE [UDENYCA],UDENYCA,PEGFILGRASTIM-CBQV 10 MG/ML,PREFILLED SYRINGE
2632547,SBD,0.6 ML PEGFILGRASTIM-CBQV 10 MG/ML AUTO-INJECTOR [UDENYCA],UDENYCA,PEGFILGRASTIM-CBQV 10 MG/ML,AUTO-INJECTOR
2613769,SBD,0.6 ML PEGFILGRASTIM-FPGK 10 MG/ML PREFILLED SYRINGE [STIMUFEND],STIMUFEND,PEGFILGRASTIM-FPGK 10 MG/ML,PREFILLED SYRINGE
2048025,SBD,0.6 ML PEGFILGRASTIM-JMDB 10 MG/ML PREFILLED SYRINGE [FULPHILA],FULPHILA,PEGFILGRASTIM-JMDB 10 MG/ML,PREFILLED SYRINGE
2602787,SBD,0.6 ML PEGFILGRASTIM-PBBK 10 MG/ML PREFILLED SYRINGE [FYLNETRA],FYLNETRA,PEGFILGRASTIM-PBBK 10 MG/ML,PREFILLED SYRINGE
2737555,SBD,0.6 ML PEGFILGRASTIM-UNNE 10 MG/ML PREFILLED SYRINGE [ARMLUPEG],ARMLUPEG,PEGFILGRASTIM-UNNE 10 MG/ML,PREFILLED SYRINGE
352297,SBD,1 ML PEGINTERFERON ALFA-2A 0.18 MG/ML INJECTION [PEGASYS],PEGASYS,PEGINTERFERON ALFA-2A 0.18 MG/ML,INJECTION
